49,驯龙高手,http://p1.meituan.net/movie/8194ae885ed9419aadf35c196af86ba4239039.jpg@160w_220h_1e_1c,主演：杰伊·巴鲁切尔,杰拉德·巴特勒,亚美莉卡·费雷拉,9.,0
50,神偷奶爸,http://p0.meituan.net/movie/85c2bfba6025bfbfb53291ae5924c215308805.jpg@160w_220h_1e_1c,主演：史蒂夫·卡瑞尔,杰森·席格尔,拉塞尔·布兰德,9.,0
51,飞屋环游记,http://p0.meituan.net/movie/47dd790e19dad72b50580641de5608c5199014.jpg@160w_220h_1e_1c,主演：爱德华·阿斯纳,乔丹·长井,鲍勃·彼德森,8.,9
52,黑客帝国3：矩阵革命,http://p1.meituan.net/movie/5ca6ffcbb994a51cd6215e7c4fff2d9b71039.jpg@160w_220h_1e_1c,主演：基努·里维斯,雨果·维文,凯瑞-安·莫斯,8.,8
53,怦然心动,http://p0.meituan.net/movie/457a35fda360cb72090fa6dcbd1db3c1275333.jpg@160w_220h_1e_1c,主演：玛德琳·卡罗尔,卡兰·麦克奥利菲,艾丹·奎因,8.,9
54,闻香识女人,http://p0.meituan.net/movie/7cb7965469cb7ff95613714389f1ea3d87743.jpg@160w_220h_1e_1c,主演：阿尔·帕西诺,克里斯·奥唐纳,加布里埃尔·安瓦尔,8.,8
55,三傻大闹宝莱坞,http://p0.meituan.net/movie/4bb144bc0a674ba6908349018fd092e6330929.jpg@160w_220h_1e_1c,主演：阿米尔·汗,黄渤,卡琳娜·卡普,9.,1
56,断背山,http://p0.meituan.net/movie/e71affe126eeb4f8bfcc738cbddeebc8288766.jpg@160w_220h_1e_1c,主演：希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯,9.,0
57,飞越疯人院,http://p1.meituan.net/movie/4dddd98730274c3b1464ff0a0ad195e5233381.jpg@160w_220h_1e_1c,主演：杰克·尼科尔森,路易丝·弗莱彻,威尔·萨姆森,8.,8
58,鬼子来了,http://p1.meituan.net/movie/0b507aa44c4dfbbcc91949b69b1b39a168922.jpg@160w_220h_1e_1c,主演：姜文,姜宏波,陈强,8.,9
59,美国往事,http://p1.meituan.net/movie/92198a6fc8c3f5d13aa1bdf203572c0f99438.jpg@160w_220h_1e_1c,主演：罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文,9.,1
60,致命魔术,http://p1.meituan.net/movie/75c0d3eb584be030a01f2e26741a8f41251454.jpg@160w_220h_1e_1c,主演：休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩,8.,8
61,少年派的奇幻漂流,http://p0.meituan.net/movie/34998e31c6d07475f1add6b8b16fd21d192579.jpg@160w_220h_1e_1c,主演：苏拉·沙玛,伊尔凡·可汗,塔布,9.,1
62,蝙蝠侠：黑暗骑士崛起,http://p1.meituan.net/movie/96bb58f3e9d213fb0438987d16d27561379209.jpg@160w_220h_1e_1c,主演：克里斯蒂安·贝尔,迈克尔·凯恩,加里·奥德曼,8.,9
63,美丽心灵,http://p0.meituan.net/movie/7b7d1f8aa36d7a15463ce6942708a1a7265296.jpg@160w_220h_1e_1c,主演：罗素·克劳,詹妮弗·康纳利,艾德·哈里斯,8.,8
64,夜访吸血鬼,http://p0.meituan.net/movie/7ec873ba943f13e3c63789d899bd0e23256871.jpg@160w_220h_1e_1c,主演：汤姆·克鲁斯,布拉德·皮特,克尔斯滕·邓斯特,8.,8
65,哈利·波特与死亡圣器（下）,http://p1.meituan.net/movie/68fa7db99e958c47d7aa07d015845a6f335154.jpg@160w_220h_1e_1c,主演：丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃特森,9.,0
66,大话西游之月光宝盒,http://p0.meituan.net/movie/92eb862c42c49f8e41e459c369c4512b226610.jpg@160w_220h_1e_1c,主演：周星驰,莫文蔚,吴孟达,9.,6
67,钢琴家,http://p1.meituan.net/movie/484171372de45945e8bbbcc97db57e09136701.jpg@160w_220h_1e_1c,主演：艾德里安·布洛迪,艾米莉娅·福克斯,米哈乌·热布罗夫斯基,8.,8
68,倩女幽魂,http://p1.meituan.net/movie/6d0510f326bf145dcf49a901fb949b77278838.jpg@160w_220h_1e_1c,主演：张国荣,王祖贤,午马,9.,1
69,无敌破坏王,http://p0.meituan.net/movie/fcc17667b8343131101eeb4c67d90bf9150883.jpg@160w_220h_1e_1c,主演：约翰·C·赖利,萨拉·西尔弗曼,简•林奇,9.,0
70,本杰明·巴顿奇事,http://p0.meituan.net/movie/2526f77c650bf7cf3d5ee2dccdeac332244951.jpg@160w_220h_1e_1c,主演：布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森,8.,8
71,初恋这件小事,http://p1.meituan.net/movie/7ed07b8ea8c0e0d0c7b685d20e3ec64e232004.jpg@160w_220h_1e_1c,主演：马里奥·毛瑞尔,平采娜·乐维瑟派布恩,阿查拉那·阿瑞亚卫考,8.,8
72,新龙门客栈,http://p0.meituan.net/movie/9e9f12cfc1f54c973dda6c85bd3a139d334520.jpg@160w_220h_1e_1c,主演：张曼玉,Tony Leung,甄子丹,8.,8
73,触不可及,http://p0.meituan.net/movie/7874ba1378033b0b491df0cc56c43d25221208.jpg@160w_220h_1e_1c,主演：弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼,9.,1
74,甜蜜蜜,http://p1.meituan.net/movie/8ad5a0f521fb15637dfdf9cab38d414453783.jpg@160w_220h_1e_1c,主演：黎明,张曼玉,曾志伟,9.,2
75,熔炉,http://p1.meituan.net/movie/4ad513be2e9419ec7d7d63ba8cc2b6cc134065.jpg@160w_220h_1e_1c,主演：孔刘,郑有美,金智英,8.,8
76,大话西游之大圣娶亲,http://p1.meituan.net/movie/dc2246233a6f5ac1e34c7176b602c8ca174557.jpg@160w_220h_1e_1c,主演：周星驰,朱茵,莫文蔚,8.,8
77,小鞋子,http://p1.meituan.net/movie/bc7b6ababa54e11577d45c05e84a33af54072.jpg@160w_220h_1e_1c,主演：默罕默德·阿米尔·纳吉,Kamal Mirkarimi,Behzad Rafi,9.,1
78,时空恋旅人,http://p0.meituan.net/movie/4abc8c932cfacfc0089e2883765d02d1295222.jpg@160w_220h_1e_1c,主演：瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊,8.,9
79,素媛,http://p0.meituan.net/movie/4cc4c55c29b77b090485ce9943bf6f87274708.jpg@160w_220h_1e_1c,主演：李来,薛耿求,严志媛,9.,1
80,穿条纹睡衣的男孩,http://p1.meituan.net/movie/a0e0426a4390f5ecb49d25770a184dc0150779.jpg@160w_220h_1e_1c,主演：阿沙·巴特菲尔德,维拉·法梅加,大卫•休里斯,9.,0
81,萤火之森,http://p0.meituan.net/movie/5420be40e3b755ffe04779b9b199e935256906.jpg@160w_220h_1e_1c,主演：内山昂辉,佐仓绫音,后藤弘树,9.,0
82,窃听风暴,http://p0.meituan.net/movie/3985eaf3858bea0f2a3d966bf7ee2103178217.jpg@160w_220h_1e_1c,主演：乌尔里希·穆埃,塞巴斯蒂安·科赫,马蒂娜·戈黛特,9.,0
83,地球上的星星,http://p1.meituan.net/movie/1cb974ad0afb36582fc8090220417950344272.jpg@160w_220h_1e_1c,主演：塔奈·切赫达,阿米尔·汗,达席尔·萨法瑞,8.,8
84,恐怖直播,http://p0.meituan.net/movie/b5ff0216e689b3fcc065590c48cd5105255305.jpg@160w_220h_1e_1c,主演：河正宇,李璟荣,李大为,8.,8
85,借东西的小人阿莉埃蒂,http://p0.meituan.net/movie/ce262f261f69fc3d679020402336a4af270365.jpg@160w_220h_1e_1c,主演：志田未来,神木隆之介,大竹忍,8.,8
86,7号房的礼物,http://p1.meituan.net/movie/6a6e74b2c289f9fa4433dd2dc04a7741331638.jpg@160w_220h_1e_1c,主演：柳承龙,郑镇荣,朴信惠,8.,9
87,海豚湾,http://p0.meituan.net/movie/7373dbba07b50ce6f24336edb96b2ea4271536.jpg@160w_220h_1e_1c,主演：里克·奥巴瑞,路易·西霍尤斯,哈迪·琼斯,8.,9
88,忠犬八公物语,http://p1.meituan.net/movie/c835b3588d0061ed3b992388a0a96f15160913.jpg@160w_220h_1e_1c,主演：仲代达矢,春川真澄,井川比佐志,9.,0
89,上帝之城,http://p1.meituan.net/movie/b553d13f30100db731ab6cf45668e52d94703.jpg@160w_220h_1e_1c,主演：亚历桑德雷·罗德里格斯,艾莉丝·布拉加,莱安德鲁·菲尔米诺,8.,9
90,辩护人,http://p0.meituan.net/movie/8fabf3894b7d12d3d2f6e66404813670265761.jpg@160w_220h_1e_1c,主演：宋康昊,郭度沅,吴达洙,8.,8
91,七武士,http://p1.meituan.net/movie/73349facab53529ab9e079c6c8c7c059281729.jpg@160w_220h_1e_1c,主演：三船敏郎,志村乔,千秋实,9.,1
92,完美的世界,http://p1.meituan.net/movie/30310858fdab34c7a17cfd7ec8ad8bfc112201.jpg@160w_220h_1e_1c,主演：凯文·科斯特纳,克林特·伊斯特伍德,T·J·劳瑟,8.,9
93,一一,http://p1.meituan.net/movie/2c0a5fedf4b43d142121b91c6ccabe1b59051.jpg@160w_220h_1e_1c,主演：吴念真,Elaine Jin,李凯莉,8.,9
94,海洋,http://p0.meituan.net/movie/0018b57299d0d4540330a31244c880a9112971.jpg@160w_220h_1e_1c,主演：雅克·贝汉,姜文,兰斯洛特·佩林,9.,0
95,爱·回家,http://p1.meituan.net/movie/36a893c53a13f9bb934071b86ae3b5c492427.jpg@160w_220h_1e_1c,主演：俞承豪,金艺芬,童孝熙,9.,0
96,黄金三镖客,http://p1.meituan.net/movie/9bff56ed3ea38bb1825daa1d354bc92352781.jpg@160w_220h_1e_1c,主演：克林特·伊斯特伍德,李·范·克里夫,埃里·瓦拉赫,8.,9
97,我爱你,http://p1.meituan.net/movie/ed50b58bf636d207c56989872a91f4cf305138.jpg@160w_220h_1e_1c,主演：宋在浩,李顺才,尹秀晶,9.,0
98,迁徙的鸟,http://p1.meituan.net/movie/a1634f4e49c8517ae0a3e4adcac6b0dc43994.jpg@160w_220h_1e_1c,主演：雅克·贝汉,Philippe Labro,9.,1
99,英雄本色,http://p0.meituan.net/movie/3e5f5f3aa4b7e5576521e26c2c7c894d253975.jpg@160w_220h_1e_1c,主演：狄龙,张国荣,周润发,9.,2
100,龙猫,http://p0.meituan.net/movie/b03e9c52c585635d2cb6a3f7c08a8a50112441.jpg@160w_220h_1e_1c,主演：日高法子,坂本千夏,糸井重里,,
